id,srno,state,city,pm10,monitors-p10,readings-pm10,pm25,monitors-pm25,readings-pm25,year
381,117,Uttar Pradesh,Meerut,177,2,113,,0,0,2018
382,118,Uttar Pradesh,Moradabad,227,2,195,,0,0,2018
383,119,Uttar Pradesh,Noida,264,2,180,119,1,90,2018
384,120,Uttar Pradesh,Raebareli,141,3,210,,0,0,2018
385,121,Uttar Pradesh,Varanasi,190,5,283,,0,0,2018
386,122,Uttarakhand,Dehradun,217,3,180,,0,0,2018
387,123,Uttarakhand,Kashipur,105,1,96,,0,0,2018
388,124,Uttarakhand,Rishikesh,133,1,83,,0,0,2018
389,125,West Bengal,Asansol,145,3,321,58,1,103,2018
390,126,West Bengal,Barrackpore,108,3,312,44,1,104,2018
391,127,West Bengal,Durgapur,141,4,416,71,1,104,2018
392,128,West Bengal,Faridabad,,0,0,,0,0,2018
393,129,West Bengal,Haldia,99,4,416,33,1,104,2018
394,130,West Bengal,Howrah,179,4,584,97,2,292,2018
395,131,West Bengal,Kolkata,144,21,2833,86,5,704,2018
396,132,West Bengal,Raniganj,147,3,312,,0,0,2018
397,1,Andhra Pradesh,Anantapur,61,4,429,30,4,206,2019
398,2,Andhra Pradesh,Chitoor,66,5,519,26,3,238,2019
399,3,Andhra Pradesh,Eluru,59,4,432,19,2,84,2019
400,4,Andhra Pradesh,Guntur,67,4,403,23,4,250,2019
401,5,Andhra Pradesh,Kadapa,62,5,537,26,3,205,2019
402,6,Andhra Pradesh,Kurnool,54,4,432,30,4,230,2019
403,7,Andhra Pradesh,Nellore,63,4,428,33,2,113,2019
404,8,Andhra Pradesh,Ongole,67,4,421,25,3,81,2019
405,9,Andhra Pradesh,Rajahmundry,73,4,408,34,1,70,2019
406,10,Andhra Pradesh,Srikakulam,76,4,405,36,1,64,2019
407,11,Andhra Pradesh,Vijaywada,53,9,952,27,3,261,2019
408,12,Andhra Pradesh,Vishakhapatnam,53,9,932,33,9,568,2019
409,13,Andhra Pradesh,Vizianagaram,67,4,402,35,1,50,2019
410,14,Assam,Guwahati,97,6,744,27,3,70,2019
411,15,Assam,Nagaon,105,1,97,,0,0,2019
412,16,Assam,Nalbari,87,1,77,,0,0,2019
413,17,Assam,Sibsagar,56,2,205,,0,0,2019
414,18,Assam,Silchar,47,2,149,,0,0,2019
415,19,Bihar,Gaya,152,1,104,,0,0,2019
416,20,Bihar,Muzaffarpur,238,1,104,101,1,104,2019
417,21,Bihar,Patna,71,2,134,,0,0,2019
418,22,Chandigarh,Chandigarh,97,5,748,63,5,582,2019
419,23,Chattisgarh,Durg-Bhillainagar,79,4,324,42,4,290,2019
420,24,Chattisgarh,Korba,58,3,300,30,3,296,2019
421,25,Chattisgarh,Raipur,69,2,185,,0,0,2019
422,26,Delhi,Delhi,199,9,961,105,3,322,2019
423,27,Gujarat,Ahmedabad,127,10,783,37,9,783,2019
424,28,Gujarat,Rajkot,131,2,174,35,2,174,2019
425,29,Gujarat,Surat,135,3,255,40,3,258,2019
426,30,Gujarat,Vadodara,128,5,434,37,5,434,2019
427,31,Himachal Pradesh,Baddi,148,3,277,,0,0,2019
428,32,Himachal Pradesh,Damtal,49,2,249,21,2,196,2019
429,33,Himachal Pradesh,Kala Amb,102,2,339,69,2,48,2019
430,34,Himachal Pradesh,Nalagarh,125,1,120,,0,0,2019
431,35,Himachal Pradesh,Paonta Sahib,84,2,284,39,1,49,2019
432,36,Himachal Pradesh,Parwanoo,64,2,269,19,2,248,2019
433,37,Himachal Pradesh,Sunder Nagar,73,2,251,38,2,71,2019
434,38,Jammu & Kashmir,Jammu,138,3,272,37,3,73,2019
435,39,Jammu & Kashmir,Srinagar,132,3,160,,0,0,2019
436,40,Jharkhand,Dhanbad,237,3,278,,0,0,2019
437,41,Jharkhand,Jamshedpur,139,2,184,,0,0,2019
438,42,Jharkhand,Ranchi,109,1,96,,0,0,2019
439,43,Karnataka,Bangalore,79,9,702,32,8,467,2019
440,44,Karnataka,Devanagere,70,3,276,16,1,85,2019
441,45,Karnataka,Gulbarga,87,1,58,46,1,35,2019
442,46,Karnataka,Hubli-Dharwad,69,2,209,22,2,209,2019
443,47,Madhya Pradesh,Bhopal,161,8,569,48,6,102,2019
444,48,Madhya Pradesh,Dewas,79,3,283,46,3,91,2019
445,49,Madhya Pradesh,Gwalior,72,2,183,58,2,182,2019
446,50,Madhya Pradesh,Indore,139,3,294,37,3,294,2019
447,51,Madhya Pradesh,Jabalpur,78,2,202,,0,0,2019
448,52,Madhya Pradesh,Sagar,77,2,198,19,2,51,2019
449,53,Madhya Pradesh,Ujjain,84,4,240,39,2,7,2019
450,54,Maharashtra,Akola,69,3,427,,0,0,2019
451,55,Maharashtra,Amravati,90,3,461,,0,0,2019
