Year,City ,State,NoOfLocationsUsed,Readings,IdealReadings,Pollutant,Values
2019,Eluru,Andhra Pradesh,4,164,416,PM 10,66
2017,Anantapur,Andhra Pradesh,1,111,104,PM 10,78
2016,Anantapur,Andhra Pradesh,1,106,104,PM 10,85
2018,Anantapur,Andhra Pradesh,4,398,416,PM 10,71
2019,Anantapur,Andhra Pradesh,4,145,416,PM 10,81
2017,Kurnool,Andhra Pradesh,1,112,104,PM 10,82
2016,Kurnool,Andhra Pradesh,1,108,104,PM 10,69
2018,Kurnool,Andhra Pradesh,4,390,416,PM 10,66
2019,Kurnool,Andhra Pradesh,4,165,416,PM 10,62
2017,Vijayawada,Andhra Pradesh,3,327,312,PM 10,99
2016,Vijayawada,Andhra Pradesh,3,297,312,PM 10,102
2018,Vijayawada,Andhra Pradesh,9,657,936,PM 10,77
2019,Vijayawada,Andhra Pradesh,9,395,936,PM 10,78
